Index,Player,Tm,Year,Pos,PTS,FG,3P,2P,FT,TRB,AST,TOV,STL,BLK
14778,Ron Mercer,ORL,2000,SG,470,188,0,188,94,98,54,64,42,8
14779,Andre Miller,CLE,2000,PG,914,339,10,329,226,280,476,166,84,17
14780,Anthony Miller,HOU,2000,PF,130,52,0,52,26,164,16,19,11,10
14781,Brad Miller,CHH,2000,C,423,135,0,135,153,293,45,48,23,35
14782,Oliver Miller,PHO,2000,C,323,137,0,137,49,261,68,74,42,80
14783,Reggie Miller*,IND,2000,SG,1470,466,165,301,373,239,187,129,85,25
14784,Chris Mills,GSW,2000,SF,322,123,8,115,68,123,47,25,18,4
14785,Terry Mills,DET,2000,PF,548,214,95,119,25,390,85,46,38,24
14786,Jason Miskiri,CHH,2000,PG,0,0,0,0,0,0,1,0,0,0
14787,Sam Mitchell,MIN,2000,SF,427,168,10,158,81,138,111,44,27,14
14788,Cuttino Mobley,HOU,2000,SG,1277,437,104,333,299,288,208,186,87,32
14789,Nazr Mohammed,PHI,2000,C,54,21,0,21,12,50,2,18,4,12
14790,Eric Montross,DET,2000,C,40,17,0,17,6,72,7,22,6,9
14791,Mikki Moore,DET,2000,C,228,87,0,87,54,112,17,23,9,31
14792,Alonzo Mourning*,MIA,2000,C,1718,652,0,652,414,753,123,217,40,294
14793,Chris Mullin*,IND,2000,SG,242,80,45,35,37,76,37,28,28,9
14794,Eric Murdock,LAC,2000,PG,225,79,16,63,51,77,108,58,47,5
14795,Gheorghe Muresan,NJN,2000,C,105,41,0,41,23,68,9,16,0,12
14796,Lamond Murray,CLE,2000,SF,1175,460,51,409,204,423,132,184,105,36
14797,Tracy Murray,WAS,2000,SF,813,290,113,177,120,271,72,84,45,24
14798,Dikembe Mutombo*,ATL,2000,C,942,322,0,322,298,1157,105,174,27,269
14799,Steve Nash,DAL,2000,PG,481,173,60,113,75,121,272,102,37,3
14800,Tyrone Nesby,LAC,2000,SG,973,364,94,270,151,275,121,102,75,31
14801,Rasho Nesterovic,MIN,2000,C,471,206,0,206,59,379,93,71,21,85
